City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
175,Irbeyskoye,RU,55.6428,95.4522,45.57,88,59,11.21,broken clouds
176,Reforma,MX,18.1,-91.0167,95.95,40,43,8.41,scattered clouds
177,Codrington,AU,-38.2667,141.9667,56.37,66,100,18.07,overcast clouds
178,Chake Chake,TZ,-5.2459,39.7666,77.14,71,10,15.43,clear sky
179,Moron,AR,-34.6534,-58.6198,61.02,50,70,5.01,broken clouds
180,Awbari,LY,26.5921,12.7805,91.58,12,38,11.14,scattered clouds
181,Carnarvon,AU,-24.8667,113.6333,60.87,77,100,5.75,overcast clouds
182,Pisco,PE,-13.7,-76.2167,66.0,82,90,5.75,overcast clouds
183,Chokurdakh,RU,70.6333,147.9167,34.99,83,100,7.23,overcast clouds
184,Minudasht,IR,37.2289,55.3747,71.17,78,40,1.48,scattered clouds
185,Amarante Do Maranhao,BR,-5.5667,-46.7422,90.1,39,12,5.82,few clouds
186,Torbay,CA,47.6666,-52.7314,46.0,93,90,17.27,light rain
187,Pangnirtung,CA,66.1451,-65.7125,44.6,53,75,10.36,broken clouds
188,La Grande,US,45.3246,-118.0877,59.14,40,100,1.77,overcast clouds
189,Izmit,TR,40.7669,29.9169,71.96,88,0,3.65,clear sky
190,West Bay,KY,19.3667,-81.4167,88.05,70,20,17.49,few clouds
191,Soure,BR,-0.7167,-48.5233,84.97,64,56,5.86,broken clouds
192,Tilichiki,RU,60.4667,166.1,36.77,94,100,7.52,light rain
193,Maturin,VE,9.75,-63.1767,84.31,66,99,5.68,overcast clouds
194,Damaturu,NG,11.747,11.9608,89.44,41,61,12.48,broken clouds
195,Mareeba,AU,-17.0,145.4333,71.6,78,75,5.75,broken clouds
196,High Level,CA,58.5169,-117.136,59.11,72,75,8.66,broken clouds
197,Mahibadhoo,MV,3.7833,72.9667,82.96,75,10,15.1,clear sky
198,Kropotkin,RU,45.4375,40.5756,57.92,89,74,7.87,broken clouds
199,Vorta,RO,46.0167,22.6833,61.7,80,27,2.15,scattered clouds
200,Moranbah,AU,-22.0016,148.0466,50.79,68,50,9.35,scattered clouds
201,Saint-Georges,GD,12.0564,-61.7485,84.2,74,40,21.85,scattered clouds
202,Perigueux,FR,45.1833,0.7167,72.0,49,0,5.75,clear sky
203,Jiuquan,CN,39.7432,98.5174,63.63,27,62,3.11,broken clouds
204,Jambi,ID,-1.6,103.6167,74.3,95,71,2.35,broken clouds
205,Vanimo,PG,-2.6741,141.3028,77.11,89,98,3.91,overcast clouds
206,Guerrero Negro,MX,27.9769,-114.0611,71.51,55,64,9.71,broken clouds
207,Bengkulu,ID,-3.8004,102.2655,74.28,89,14,4.47,few clouds
208,Kodiak,US,57.79,-152.4072,60.31,36,1,21.85,clear sky
209,Ormara,PK,25.2088,64.6357,84.27,74,47,12.21,scattered clouds
210,Wanning,CN,18.8003,110.3967,79.65,91,99,3.13,overcast clouds
211,Anadyr,RU,64.75,177.4833,43.3,65,40,8.01,scattered clouds
212,Batemans Bay,AU,-35.7167,150.1833,48.9,83,35,4.54,scattered clouds
213,Havelock,US,34.8791,-76.9013,84.16,83,75,4.0,broken clouds
214,Port Hedland,AU,-20.3167,118.5667,71.65,60,99,5.75,overcast clouds
215,Athabasca,CA,54.7169,-113.2854,66.61,45,99,13.33,overcast clouds
216,Chuy,UY,-33.6971,-53.4616,57.25,65,100,6.8,overcast clouds
217,Lichinga,MZ,-13.3128,35.2406,55.49,82,0,10.36,clear sky
218,Winkler,CA,49.1817,-97.941,77.0,43,83,17.52,broken clouds
219,Pizarro,CO,4.9533,-77.366,82.9,75,99,8.39,light rain
220,Saquarema,BR,-22.92,-42.5103,84.2,58,0,9.22,clear sky
221,Lebu,CL,-37.6167,-73.65,51.49,67,100,1.07,overcast clouds
222,Loubomo,CG,-4.1997,12.6739,76.87,74,38,2.51,scattered clouds
223,Nemuro,JP,43.3236,145.575,50.74,91,89,5.59,overcast clouds
224,Enumclaw,US,47.2043,-121.9915,52.56,82,100,1.99,light rain
225,Katangli,RU,51.7102,143.2326,38.5,93,100,14.9,overcast clouds
226,Te Anau,NZ,-45.4167,167.7167,36.45,93,20,1.25,few clouds
227,Soyo,AO,-6.1349,12.3689,76.95,84,60,10.65,broken clouds
228,Lae,PG,-6.7221,146.9847,74.71,89,94,4.16,overcast clouds
229,Tarauaca,BR,-8.1614,-70.7656,85.6,61,74,3.47,broken clouds
230,Chepareria,KE,1.3077,35.2039,61.75,76,98,5.64,overcast clouds
231,Omsukchan,RU,62.5333,155.8,39.94,92,100,8.39,overcast clouds
232,Boa Vista,BR,2.8197,-60.6733,75.18,88,75,10.36,broken clouds
233,Puerto Escondido,MX,15.85,-97.0667,90.43,66,40,5.75,scattered clouds
234,Puga,MX,21.5833,-104.8167,91.78,30,90,4.29,overcast clouds
235,Severo-Kurilsk,RU,50.6789,156.125,40.66,95,94,8.81,overcast clouds
236,Merrill,US,45.1805,-89.6835,85.8,45,40,13.8,scattered clouds
237,Palmer,US,42.1584,-72.3287,94.24,39,40,1.99,scattered clouds
238,Tromso,NO,69.6496,18.957,65.05,46,0,16.11,clear sky
239,Jumla,NP,29.2747,82.1838,56.79,90,42,3.22,scattered clouds
240,Aklavik,CA,68.2191,-135.0107,35.6,75,75,4.61,broken clouds
241,Alyangula,AU,-13.8483,136.4192,71.6,94,90,1.14,overcast clouds
242,Lanzhou,CN,36.0564,103.7922,58.28,52,83,5.61,broken clouds
243,Port Macquarie,AU,-31.4333,152.9167,47.37,70,5,5.53,clear sky
244,Okha,RU,53.5739,142.9478,35.4,97,100,14.0,overcast clouds
245,Sola,VU,-13.8833,167.55,75.87,88,90,5.75,overcast clouds
246,Yaan,NG,7.3833,8.5667,78.76,74,95,9.4,overcast clouds
247,Piopio,NZ,-38.4667,175.0167,60.01,93,100,1.99,overcast clouds
248,Okhotsk,RU,59.3833,143.3,42.37,88,100,3.47,overcast clouds
249,Kudat,MY,6.8837,116.8477,76.93,94,20,0.0,few clouds
250,Nizhniy Kuranakh,RU,58.8353,125.4869,67.95,47,76,8.57,broken clouds
251,Stornoway,GB,58.2093,-6.3865,55.36,71,75,10.36,broken clouds
252,Marrakesh,MA,31.6315,-8.0083,96.87,24,20,8.05,few clouds
253,Hervey Bay,AU,-25.2986,152.8535,55.0,84,0,3.0,clear sky
254,Nanortalik,GL,60.1432,-45.2371,45.82,66,100,11.63,overcast clouds
255,Minuri,PH,16.535,121.8574,76.15,95,100,2.33,light rain
256,Olga,RU,43.7444,135.2892,51.44,92,2,6.02,clear sky
257,Fare,PF,-16.7,-151.0167,80.4,72,3,10.74,clear sky
258,Ayan,RU,56.45,138.1667,40.44,91,96,7.18,overcast clouds
259,Nola,IT,40.922,14.5329,77.31,40,79,4.85,broken clouds
260,Vesele,UA,47.0148,34.915,58.06,88,97,7.07,overcast clouds
261,Paka,MY,4.6374,103.4368,75.13,100,100,5.53,overcast clouds
262,Macon,US,39.8667,-88.9668,85.32,61,90,12.66,overcast clouds
263,San Jose,US,37.3394,-121.895,78.96,50,20,1.99,few clouds
264,Senneterre,CA,48.3835,-77.2328,82.62,49,80,7.29,broken clouds
265,Cidreira,BR,-30.1811,-50.2056,63.37,82,100,8.46,light rain
266,Ilulissat,GL,69.2167,-51.1,35.62,87,71,6.91,broken clouds
267,Siuna,NI,13.7332,-84.7773,90.21,49,68,8.43,light rain
268,Vigrestad,NO,58.5667,5.7,62.96,77,99,12.41,overcast clouds
269,Necochea,AR,-38.5473,-58.7368,57.04,50,57,1.88,broken clouds
270,Coquimbo,CL,-29.9533,-71.3436,60.53,72,40,5.86,scattered clouds
271,Faanui,PF,-16.4833,-151.75,80.65,73,4,11.12,clear sky
272,Hakkari,TR,37.5833,44.1667,51.71,38,0,5.77,clear sky
273,Elmira,US,42.0898,-76.8077,90.34,49,40,7.61,scattered clouds
274,Faya,SA,18.3851,42.4509,75.31,58,16,3.42,few clouds
275,Hovd,MN,48.0056,91.6419,48.38,38,9,5.95,clear sky
276,Esperance,AU,-33.8667,121.9,53.44,65,70,27.36,broken clouds
277,Valparaiso,CL,-33.0393,-71.6273,62.24,71,0,4.61,haze
278,Bonfim,BR,3.0833,-59.95,87.3,61,36,6.22,scattered clouds
279,Uetze,DE,52.4651,10.2047,65.41,82,87,8.05,overcast clouds
280,Srednekolymsk,RU,67.45,153.6833,60.44,49,78,8.05,broken clouds
281,Lagoa,PT,39.05,-27.9833,64.2,90,100,14.03,overcast clouds
282,Emba,KZ,48.8264,58.1442,69.4,33,100,7.85,overcast clouds
283,Tynda,RU,55.1667,124.7167,54.0,64,38,2.89,scattered clouds
284,Haines Junction,CA,60.7522,-137.5108,49.95,81,93,1.14,light rain
285,Ribeira Grande,PT,38.5167,-28.7,70.2,78,40,13.8,scattered clouds
286,Lere,NG,10.387,8.5726,81.95,50,92,4.59,overcast clouds
287,Achit,RU,56.7985,57.8994,56.52,74,7,3.85,clear sky
288,Ponta Do Sol,PT,32.6667,-17.1,71.71,74,0,1.92,clear sky
289,Sunland Park,US,31.7965,-106.58,98.38,20,1,5.99,clear sky
290,Kiama,AU,-34.6833,150.8667,53.26,80,21,1.01,few clouds
291,Plettenberg Bay,ZA,-34.0527,23.3716,65.5,30,4,8.97,clear sky
292,Takoradi,GH,4.8845,-1.7554,81.16,76,43,11.41,scattered clouds
293,Alofi,NU,-19.0595,-169.9187,60.69,100,91,1.14,overcast clouds
294,Iwai,JP,36.05,139.9,72.01,81,100,1.36,overcast clouds
295,Clyde River,CA,70.4692,-68.5914,34.03,100,90,10.36,mist
296,Rio Gallegos,AR,-51.6226,-69.2181,44.65,57,75,8.05,broken clouds
297,Altamira,BR,-3.2033,-52.2064,89.69,62,75,4.61,broken clouds
298,Malvern,US,34.3623,-92.813,81.32,78,100,5.59,overcast clouds
299,Hamilton,US,39.1834,-84.5333,83.68,65,40,6.26,scattered clouds
300,Kintampo,GH,8.0563,-1.7306,85.96,53,70,4.34,broken clouds
301,Isangel,VU,-19.55,169.2667,70.88,65,80,12.39,broken clouds
302,Magadan,RU,59.5667,150.8,41.94,87,46,1.59,scattered clouds
303,Alta Floresta,BR,-9.8756,-56.0861,94.82,41,20,4.61,few clouds
304,Duiwelskloof,ZA,-23.6934,30.14,52.86,90,96,1.63,overcast clouds
305,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,20,9.82,few clouds
306,La Sarre,CA,48.8002,-79.1996,81.19,55,24,9.37,few clouds
307,Le Port,RE,-20.9373,55.2919,71.62,78,75,8.84,light rain
308,Barranca,PE,-10.75,-77.7667,68.45,68,80,7.85,broken clouds
309,Usinsk,RU,65.9939,57.5281,43.39,52,99,12.24,overcast clouds
310,Matara,LK,5.9485,80.5353,79.18,89,94,9.62,overcast clouds
311,Najran,SA,17.4924,44.1277,90.25,11,8,4.79,clear sky
312,Lardos,GR,36.0942,28.0157,74.95,71,0,12.01,clear sky
313,Karasjok,NO,69.4719,25.5112,50.11,37,7,6.33,clear sky
314,Oktyabrskoye,RU,43.0645,44.7417,57.34,93,93,1.66,overcast clouds
315,Hambantota,LK,6.1241,81.1185,79.14,100,0,15.17,clear sky
316,Dawlatabad,AF,36.4141,64.9053,91.06,20,0,4.88,clear sky
317,Verkhnevilyuysk,RU,63.4453,120.3167,48.69,81,100,4.81,light rain
318,Dukat,RU,62.55,155.55,38.17,92,99,7.11,overcast clouds
319,San Lazaro,BZ,18.0387,-88.6622,90.66,42,93,12.19,overcast clouds
320,Karratha,AU,-20.7377,116.8463,75.24,66,100,7.36,overcast clouds
321,Noumea,NC,-22.2763,166.4572,71.01,99,96,8.79,overcast clouds
322,Guane,CU,22.2025,-84.0875,90.95,49,32,10.38,scattered clouds
323,Mweka,CD,-4.85,21.5667,76.82,61,61,4.7,broken clouds
324,Tezu,IN,27.9167,96.1667,73.13,97,99,2.77,overcast clouds
325,Ambunti,PG,-4.2365,142.8448,73.2,99,99,2.33,overcast clouds
326,Beira,MZ,-19.8436,34.8389,71.69,73,40,9.22,light rain
327,Yamada,JP,39.4667,141.95,62.96,76,100,6.44,overcast clouds
328,Baykit,RU,61.67,96.37,31.39,79,17,0.72,few clouds
329,Fukue,JP,32.6881,128.8419,69.08,87,100,3.58,overcast clouds
330,Darlawn,IN,24.0167,92.9,68.41,98,100,1.41,light rain
331,Amga,RU,60.8953,131.9608,54.3,78,98,3.69,overcast clouds
332,Aseri,EE,59.4506,26.8675,56.19,83,16,5.59,few clouds
333,Braganca,BR,-1.0536,-46.7656,84.27,75,28,4.41,scattered clouds
334,Nelson Bay,AU,-32.7167,152.15,48.69,90,1,6.71,clear sky
335,Opuwo,NA,-18.0607,13.84,64.26,34,0,9.37,clear sky
336,Keuruu,FI,62.2667,24.7,73.58,57,68,2.1,broken clouds
337,Dingle,PH,10.9995,122.6711,75.94,86,100,2.71,light rain
338,Sungaipenuh,ID,-2.0833,101.3833,62.71,97,55,1.36,broken clouds
339,Bakchar,RU,57.0186,82.0711,57.31,88,75,5.73,light rain
340,Rastolita,RO,46.9726,24.9929,61.56,91,14,3.85,few clouds
341,Swan Hill,AU,-35.3378,143.5544,50.38,75,100,9.95,overcast clouds
342,Waslala,NI,13.2333,-85.3833,86.34,47,81,7.92,light rain
343,Asilah,MA,35.465,-6.0348,75.16,41,1,20.74,clear sky
344,Spalene Porici,CZ,49.6137,13.6056,70.48,83,99,1.83,overcast clouds
345,Upernavik,GL,72.7868,-56.1549,37.26,83,15,3.31,few clouds
346,Krasnoselkup,RU,65.7,82.4667,34.43,72,82,8.32,broken clouds
347,Harnai,PK,30.1005,67.9374,89.46,39,5,1.59,clear sky
348,Paita,PE,-5.0892,-81.1144,77.56,71,99,13.98,overcast clouds
349,Hay River,CA,60.8156,-115.7999,44.58,65,75,14.97,broken clouds
